DATE,TYPE,FROMPORTFOLIO,TOPORTFOLIO,OUTAMOUNT,OUTCURRENCY,FEEAMOUNT,FEECURRENCY,TOADDRESS,OUTTXID,OUTTXURL,INAMOUNT,INCURRENCY,INTXID,INTXURL,ORDERID,PERSONALNOTE
2024-12-29T18:18:22.000Z,deposit,,exodus_0,,,,,,,,0.00313525,ETH,0xb1f7dd83bf348c3b98508ae4f4dc3614a9b3fb6536a4351acb0dd43b3e911351,https://etherscan.io/tx/0xb1f7dd83bf348c3b98508ae4f4dc3614a9b3fb6536a4351acb0dd43b3e911351,,
2024-12-29T22:09:59.000Z,deposit,,exodus_0,,,,,,,,25044.149028947657,VERSE,0x7740c1837baa3f13e571a7e555c02ec416bbd1851af0f40f6ace4ab67b18ed1e,https://etherscan.io/tx/0x7740c1837baa3f13e571a7e555c02ec416bbd1851af0f40f6ace4ab67b18ed1e,,lnbc1pnedp6hpp5jcj98pak3ukrv54wfzxqyzta5vp3w5tpvudphkm8fukpj6v3223qdqqcqzzsxqyz5vqsp5z8kpj08c4h69nhdeyz3ys30dg95xjm584eqwuzln95fp7x06v4qs9qxpqysgqdvwy9thtkfy9aedzx6uvfuvsn0efsl0tfj277pecczjaz5n9uyyh8wtyc2my526xmgslu59vptxlg9a4xnt694ke0qcr7q2zgn0p2fqpzc4cph
2025-01-18T00:00:39.000Z,withdrawal,exodus_0,,0,VERSE,-0.000138399036029007,ETH,0xf58cefd63742d67175404e571240806f6b6e0c27,0x878974ec442ab035544659141823ef147a59848fb128993ceb06af6a6aeef874,https://etherscan.io/tx/0x878974ec442ab035544659141823ef147a59848fb128993ceb06af6a6aeef874,,,,,,
2025-01-31T13:13:28.000Z,withdrawal,exodus_0,,-0.000054084068232037,ETH,-0.000084782698665,ETH,0x6900ef7bcd4ec8e81d89808b6a089c4f6377e81c,0x55ecccab9446d6a8136d95d5c2107b04301073fd37098e7196438213c2cd875a,https://etherscan.io/tx/0x55ecccab9446d6a8136d95d5c2107b04301073fd37098e7196438213c2cd875a,,,,,,
